#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   363.0           3.5270E+00              3.5270E+00
   364.0           3.5276E+00              3.5276E+00
   365.0           3.5282E+00              3.5282E+00
   366.0           3.5288E+00              3.5288E+00
   367.0           3.5295E+00              3.5295E+00
   368.0           3.5301E+00              3.5301E+00
   369.0           3.5307E+00              3.5307E+00
   370.0           3.5313E+00              3.5313E+00
   371.0           3.5319E+00              3.5319E+00
   372.0           3.5325E+00              3.5325E+00
   373.0           3.5331E+00              3.5331E+00
   374.0           3.5337E+00              3.5337E+00
   375.0           3.5343E+00              3.5343E+00
   376.0           3.5349E+00              3.5349E+00
   377.0           3.5355E+00              3.5355E+00
   378.0           3.5361E+00              3.5361E+00
   379.0           3.5367E+00              3.5367E+00
   380.0           3.5373E+00              3.5373E+00
   381.0           3.5379E+00              3.5379E+00
   382.0           3.5385E+00              3.5385E+00
   383.0           3.5390E+00              3.5390E+00
   384.0           3.5396E+00              3.5396E+00
   385.0           3.5402E+00              3.5402E+00
   386.0           3.5408E+00              3.5408E+00
   387.0           3.5413E+00              3.5413E+00
   388.0           3.5419E+00              3.5419E+00
   389.0           3.5424E+00              3.5424E+00
   390.0           3.5430E+00              3.5430E+00
   391.0           3.5435E+00              3.5435E+00
   392.0           3.5441E+00              3.5441E+00
   393.0           3.5446E+00              3.5446E+00
   394.0           3.5452E+00              3.5452E+00
   395.0           3.5457E+00              3.5457E+00
   396.0           3.5462E+00              3.5462E+00
   397.0           3.5467E+00              3.5467E+00
   398.0           3.5473E+00              3.5473E+00
   399.0           3.5478E+00              3.5478E+00
   400.0           3.5483E+00              3.5483E+00
   401.0           3.5488E+00              3.5488E+00
   402.0           3.5493E+00              3.5493E+00
   403.0           3.5498E+00              3.5498E+00
   404.0           3.5503E+00              3.5503E+00
   405.0           3.5508E+00              3.5508E+00
   406.0           3.5512E+00              3.5512E+00
   407.0           3.5517E+00              3.5517E+00
   408.0           3.5522E+00              3.5522E+00
   409.0           3.5527E+00              3.5527E+00
   410.0           3.7421E+00              3.7421E+00
   411.0           3.7434E+00              3.7434E+00
   412.0           3.7447E+00              3.7447E+00
   413.0           3.7461E+00              3.7461E+00
   414.0           3.7474E+00              3.7474E+00
   415.0           3.7487E+00              3.7487E+00
   416.0           3.7500E+00              3.7500E+00
   417.0           3.7514E+00              3.7514E+00
   418.0           3.7527E+00              3.7527E+00
   419.0           3.7540E+00              3.7540E+00
   420.0           3.7553E+00              3.7553E+00
   421.0           3.7567E+00              3.7567E+00
   422.0           3.7580E+00              3.7580E+00
   423.0           3.7593E+00              3.7593E+00
   424.0           3.7606E+00              3.7606E+00
   425.0           3.7619E+00              3.7619E+00
   426.0           3.7632E+00              3.7632E+00
   427.0           3.7645E+00              3.7645E+00
   428.0           3.7659E+00              3.7659E+00
   429.0           3.7672E+00              3.7672E+00
   430.0           3.7685E+00              3.7685E+00
   431.0           3.7698E+00              3.7698E+00
   432.0           3.7711E+00              3.7711E+00
   433.0           3.7724E+00              3.7724E+00
   434.0           3.7737E+00              3.7737E+00
   435.0           3.7750E+00              3.7750E+00
   436.0           3.7763E+00              3.7763E+00
   437.0           3.7776E+00              3.7776E+00
   438.0           3.7789E+00              3.7789E+00
   439.0           3.7802E+00              3.7802E+00
   440.0           3.7815E+00              3.7815E+00
   441.0           3.7828E+00              3.7828E+00
   442.0           3.7841E+00              3.7841E+00
   443.0           3.7853E+00              3.7853E+00
   444.0           3.7866E+00              3.7866E+00
   445.0           3.7879E+00              3.7879E+00
   446.0           3.7892E+00              3.7892E+00
   447.0           3.7905E+00              3.7905E+00
   448.0           3.7918E+00              3.7918E+00
   449.0           3.7931E+00              3.7931E+00
   450.0           3.7944E+00              3.7944E+00
   451.0           3.7956E+00              3.7956E+00
   452.0           3.7969E+00              3.7969E+00
   453.0           3.7982E+00              3.7982E+00
   454.0           3.7995E+00              3.7995E+00
   455.0           3.8008E+00              3.8008E+00
   456.0           3.8021E+00              3.8021E+00
   457.0           3.8033E+00              3.8033E+00
   458.0           3.8046E+00              3.8046E+00
   459.0           3.8059E+00              3.8059E+00
   460.0           3.8072E+00              3.8072E+00
   461.0           3.8084E+00              3.8084E+00
   462.0           3.8097E+00              3.8097E+00
   463.0           3.8110E+00              3.8110E+00
   464.0           3.8123E+00              3.8123E+00
   465.0           3.8135E+00              3.8135E+00
   466.0           3.8148E+00              3.8148E+00
   467.0           3.8161E+00              3.8161E+00
   468.0           3.8173E+00              3.8173E+00
   469.0           3.8186E+00              3.8186E+00
   470.0           3.8199E+00              3.8199E+00
   471.0           3.8212E+00              3.8212E+00
   472.0           3.8224E+00              3.8224E+00
   473.0           3.8237E+00              3.8237E+00
   474.0           3.8250E+00              3.8250E+00
   475.0           3.8262E+00              3.8262E+00
   476.0           3.8275E+00              3.8275E+00
   477.0           3.8288E+00              3.8288E+00
   478.0           3.8300E+00              3.8300E+00
   479.0           3.8313E+00              3.8313E+00
   480.0           3.8326E+00              3.8326E+00
   481.0           3.8338E+00              3.8338E+00
   482.0           3.8351E+00              3.8351E+00
   483.0           3.8363E+00              3.8363E+00
   484.0           3.8376E+00              3.8376E+00
   485.0           3.8389E+00              3.8389E+00
   486.0           3.8401E+00              3.8401E+00
   487.0           3.8414E+00              3.8414E+00
   488.0           3.8427E+00              3.8427E+00
   489.0           3.8439E+00              3.8439E+00
   490.0           3.8452E+00              3.8452E+00
   491.0           3.8464E+00              3.8464E+00
   492.0           3.8477E+00              3.8477E+00
   493.0           3.8490E+00              3.8490E+00
   494.0           3.8502E+00              3.8502E+00
   495.0           3.8515E+00              3.8515E+00
   496.0           3.8528E+00              3.8528E+00
   497.0           3.8540E+00              3.8540E+00
   498.0           3.8553E+00              3.8553E+00
   499.0           3.8565E+00              3.8565E+00
   500.0           3.8578E+00              3.8578E+00
   501.0           3.8591E+00              3.8591E+00
   502.0           3.8603E+00              3.8603E+00
   503.0           3.8616E+00              3.8616E+00
   504.0           3.8629E+00              3.8629E+00
   505.0           3.8641E+00              3.8641E+00
   506.0           3.8654E+00              3.8654E+00
   507.0           3.8666E+00              3.8666E+00
   508.0           3.8679E+00              3.8679E+00
   509.0           3.8692E+00              3.8692E+00
   510.0           3.8704E+00              3.8704E+00
   511.0           3.8717E+00              3.8717E+00
   512.0           3.8729E+00              3.8729E+00
   513.0           3.8742E+00              3.8742E+00
   514.0           3.8755E+00              3.8755E+00
   515.0           3.8767E+00              3.8767E+00
   516.0           3.8780E+00              3.8780E+00
   517.0           3.8793E+00              3.8793E+00
   518.0           3.8805E+00              3.8805E+00
   519.0           3.8818E+00              3.8818E+00
   520.0           3.8831E+00              3.8831E+00
   521.0           3.8843E+00              3.8843E+00
   522.0           3.8856E+00              3.8856E+00
   523.0           3.8869E+00              3.8869E+00
   524.0           3.8881E+00              3.8881E+00
   525.0           3.8894E+00              3.8894E+00
   526.0           3.8907E+00              3.8907E+00
   527.0           3.8919E+00              3.8919E+00
   528.0           3.8932E+00              3.8932E+00
   529.0           3.8945E+00              3.8945E+00
   530.0           3.8957E+00              3.8957E+00
   531.0           3.8970E+00              3.8970E+00
   532.0           3.8983E+00              3.8983E+00
   533.0           3.8995E+00              3.8995E+00
   534.0           3.9008E+00              3.9008E+00
   535.0           3.9021E+00              3.9021E+00
   536.0           3.9034E+00              3.9034E+00
   537.0           3.9046E+00              3.9046E+00
   538.0           3.9059E+00              3.9059E+00
   539.0           3.9072E+00              3.9072E+00
   540.0           3.9084E+00              3.9084E+00
   541.0           3.9097E+00              3.9097E+00
   542.0           3.9110E+00              3.9110E+00
   543.0           3.9123E+00              3.9123E+00
   544.0           3.9135E+00              3.9135E+00
   545.0           3.9148E+00              3.9148E+00
   546.0           3.9161E+00              3.9161E+00
   547.0           3.9174E+00              3.9174E+00
   548.0           3.9186E+00              3.9186E+00
   549.0           3.9199E+00              3.9199E+00
   550.0           3.9212E+00              3.9212E+00
   551.0           3.9224E+00              3.9224E+00
   552.0           3.9237E+00              3.9237E+00
   553.0           3.9250E+00              3.9250E+00
   554.0           3.9263E+00              3.9263E+00
   555.0           3.9275E+00              3.9275E+00
   556.0           3.9288E+00              3.9288E+00
   557.0           3.9301E+00              3.9301E+00
   558.0           3.9314E+00              3.9314E+00
   559.0           3.9326E+00              3.9326E+00
   560.0           3.9339E+00              3.9339E+00
   561.0           3.9352E+00              3.9352E+00
   562.0           3.9365E+00              3.9365E+00
   563.0           3.9377E+00              3.9377E+00
   564.0           3.9390E+00              3.9390E+00
   565.0           3.9403E+00              3.9403E+00
   566.0           3.9416E+00              3.9416E+00
   567.0           3.9428E+00              3.9428E+00
   568.0           3.9441E+00              3.9441E+00
   569.0           3.9454E+00              3.9454E+00
   570.0           3.9467E+00              3.9467E+00
   571.0           3.9479E+00              3.9479E+00
   572.0           3.9492E+00              3.9492E+00
   573.0           3.9505E+00              3.9505E+00
   574.0           3.9518E+00              3.9518E+00
   575.0           3.9530E+00              3.9530E+00
   576.0           3.9543E+00              3.9543E+00
   577.0           3.9556E+00              3.9556E+00
   578.0           3.9569E+00              3.9569E+00
   579.0           3.9581E+00              3.9581E+00
   580.0           3.9594E+00              3.9594E+00
   581.0           3.9607E+00              3.9607E+00
   582.0           3.9619E+00              3.9619E+00
   583.0           3.9632E+00              3.9632E+00
   584.0           3.9645E+00              3.9645E+00
   585.0           3.9658E+00              3.9658E+00
   586.0           3.9670E+00              3.9670E+00
   587.0           3.9683E+00              3.9683E+00
   588.0           3.9696E+00              3.9696E+00
   589.0           3.9708E+00              3.9708E+00
   590.0           3.9721E+00              3.9721E+00
   591.0           3.9734E+00              3.9734E+00
   592.0           3.9747E+00              3.9747E+00
   593.0           3.9759E+00              3.9759E+00
   594.0           3.9772E+00              3.9772E+00
   595.0           3.9785E+00              3.9785E+00
   596.0           3.9797E+00              3.9797E+00
   597.0           3.9810E+00              3.9810E+00
   598.0           3.9823E+00              3.9823E+00
   599.0           3.9835E+00              3.9835E+00
   600.0           3.9848E+00              3.9848E+00
   601.0           3.9861E+00              3.9861E+00
   602.0           3.9873E+00              3.9873E+00
   603.0           3.9886E+00              3.9886E+00
   604.0           3.9899E+00              3.9899E+00
   605.0           3.9911E+00              3.9911E+00
   606.0           3.9924E+00              3.9924E+00
   607.0           3.9936E+00              3.9936E+00
   608.0           3.9949E+00              3.9949E+00
   609.0           3.9962E+00              3.9962E+00
   610.0           3.9974E+00              3.9974E+00
   611.0           3.9987E+00              3.9987E+00
   612.0           4.0000E+00              4.0000E+00
   613.0           4.0012E+00              4.0012E+00
   614.0           4.0025E+00              4.0025E+00
   615.0           4.0037E+00              4.0037E+00
   616.0           4.0050E+00              4.0050E+00
   617.0           4.0062E+00              4.0062E+00
   618.0           4.0075E+00              4.0075E+00
   619.0           4.0088E+00              4.0088E+00
   620.0           4.0100E+00              4.0100E+00
   621.0           4.0113E+00              4.0113E+00
   622.0           4.0125E+00              4.0125E+00
   623.0           4.0138E+00              4.0138E+00
   624.0           4.0150E+00              4.0150E+00
   625.0           4.0163E+00              4.0163E+00
   626.0           4.0175E+00              4.0175E+00
   627.0           4.0188E+00              4.0188E+00
   628.0           4.0200E+00              4.0200E+00
   629.0           4.0213E+00              4.0213E+00
   630.0           4.0225E+00              4.0225E+00
   631.0           4.0238E+00              4.0238E+00
   632.0           4.0250E+00              4.0250E+00
   633.0           4.0263E+00              4.0263E+00
   634.0           4.0275E+00              4.0275E+00
   635.0           4.0288E+00              4.0288E+00
   636.0           4.0300E+00              4.0300E+00
   637.0           4.0312E+00              4.0312E+00
   638.0           4.0325E+00              4.0325E+00
   639.0           4.0337E+00              4.0337E+00
   640.0           4.0350E+00              4.0350E+00
   641.0           4.0362E+00              4.0362E+00
   642.0           4.0374E+00              4.0374E+00
   643.0           4.0387E+00              4.0387E+00
   644.0           4.0399E+00              4.0399E+00
   645.0           4.0412E+00              4.0412E+00
   646.0           4.0424E+00              4.0424E+00
   647.0           4.0436E+00              4.0436E+00
   648.0           4.0449E+00              4.0449E+00
